first_name,last_name,picture,gender,active,microJurisId,2024_municipality,2024_senate_district,2024_representative_district,2024_politician_type,2024_party,2024_ballot,2024_commisions,2024_primary,2024_general,2024_display_name
Ángel Omar,Lafuente Amaro,/static/images/profile_images/Angel_Omar_Lafuente_Amaro_6061.jpg,M,TRUE,,Maunabo,,,alcalde,PNP,,,FALSE,TRUE,
Ángel R.,Lugo Pérez,,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Rafael,Peña Ramírez,static/images/profile_images/angel-rafael-pena-ramirez.jpeg,M,TRUE,898,,,33,representante,PNP,,,FALSE,TRUE,Ángel Peña Jr.
Ángel Rafael,Vales Medina,/static/images/profile_images/Angel_Rafael_Vales_Medina_8748.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel T.,Coriano Cruz,,M,FALSE,,Loíza,,,alcalde,PNP,,,FALSE,FALSE,
Aníbal,Báez Rivera,/static/images/profile_images/Anibal_Baez_Rivera_2436.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Aníbal,Camacho Ortíz,/static/images/profile_images/Anibal_Camacho_Ortiz_0446.jpg,M,TRUE,,Guánica,,,alcalde,PIP,,,FALSE,TRUE,
Aníbal,Díaz Hernández,,M,TRUE,,,,,,,,,FALSE,FALSE,
Aníbal José,Díaz Santos,/static/images/profile_images/Anibal_Jose_Diaz_Santos_3874.jpg,M,TRUE,,Coamo,,,alcalde,PIP,,,FALSE,TRUE,
Annelie,Carlo Rivera,,F,TRUE,,,,,,,,,FALSE,FALSE,
Anthoney,Anavitate Cuadrado,,M,TRUE,,,,,,,,,FALSE,FALSE,
Anthony,Sánchez Aponte,,M,FALSE,,,,38,representante,PD,,,FALSE,FALSE,
Anthony (Falo),Martínez Matos,,M,TRUE,,,,,,,,,FALSE,FALSE,
Antonio,Barnes Santos,,M,TRUE,,,,,,,,,FALSE,FALSE,
Antonio,Cruz Gorritz,,M,TRUE,,,,,,,,,FALSE,FALSE,
Antonio,Cruz Roche,/static/images/profile_images/Antonio_Cruz_Roche_5699.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Antonio,Cruz Rodríguez,/static/images/profile_images/Antonio_Cruz_Rodriguez_3991.jpg,M,TRUE,,,2,,senador,PPD,,,TRUE,TRUE,
