Full Name,Precinct,Order
Taira Barreto Canals,029,1
Joanne Marie Rodríguez Veve,029,1
José Antonio Vargas Vidot,029,1
Lisie Janet Burgos Muñíz,029,1
Luis Raúl Torres Cruz,029,1
María de Lourdes Santiago Negrón,029,1
Denis Márquez Lebrón,030,1
Brenda Pérez Soto,030,1
Cristina Pérez Reyes,030,1
Edwin Mieles Richard,030,1
Elizabeth Rosa,030,1
Gabriel López Arrieta,030,1
Keren Riquelme Cabrera,030,1
Luis Javier (Javy) Hernández,030,1
Taira Barreto Canals,030,1
Tatiana Pérez Ramírez,030,1
Joanne Marie Rodríguez Veve,030,1
José Antonio Vargas Vidot,030,1
Lisie Janet Burgos Muñíz,030,1
Luis Raúl Torres Cruz,030,1
María de Lourdes Santiago Negrón,030,1
Denis Márquez Lebrón,031,1
Ada Álvarez Conde,031,1
Ángel Toledo López,031,1
Brenda Pérez Soto,031,1
Cristina Pérez Reyes,031,1
Edwin Mieles Richard,031,1
Elizabeth Rosa,031,1
Gabriel F. Rodríguez Aguiló,031,1
Héctor Ferrer,031,1
Taira Barreto Canals,031,1
Joanne Marie Rodríguez Veve,031,1
José Antonio Vargas Vidot,031,1
Lisie Janet Burgos Muñíz,031,1
Luis Raúl Torres Cruz,031,1
María de Lourdes Santiago Negrón,031,1
Denis Márquez Lebrón,032,1
Ada Álvarez Conde,032,1
Héctor Ferrer,032,1
Jeison Rosa,032,1
José A. Bonilla Morales,032,1
Julia Rita Rodríguez Sánchez,032,1
Lourdes Ramos,032,1
Migdalia González,032,1
Joanne Marie Rodríguez Veve,032,1
José Antonio Vargas Vidot,032,1
Lisie Janet Burgos Muñíz,032,1
Luis Raúl Torres Cruz,032,1
María de Lourdes Santiago Negrón,032,1
Thomas Rivera Schatz,032,1
Neal (Nil) Matías,032,1
Neal (Nil) Matías,033,1
Neal (Nil) Matías,085,1
Neal (Nil) Matías,035,1
Neal (Nil) Matías,036,1
Neal (Nil) Matías,037,1
Neal (Nil) Matías,038,1
Neal (Nil) Matías,039,1
Neal (Nil) Matías,040,1
Neal (Nil) Matías,042,1
Neal (Nil) Matías,043,1
